"-- Please Select --","-- Por Favor Seleccione --"
"Columns","Columnas"
"Enable Rich Snippet for Logo and Corporate","Habilitar Rich Snippet para Logo y Corporativo"
"Use Store Logo","Usar el logo de la tienda"
"If 'Yes' - the Logo snippet will use the store default logo. The image must be in .jpg, .png, or. gif format ","Si ""Sí"" - el fragmento del logo utilizará el logo predeterminado de la tienda. La imagen debe estar en formato .jpg, .png o .gif "
"Rich Snippets & Cards - Corporate Contact","Rich Snippets y Tarjetas - Contacto Corporativo"
"Use corporate contact markup on your official website to add your company's contact information to the Google Knowledge panel in some searches, for example when a user enters your company’s name into the Search bar.","Utilice el marcado de contacto corporativo en su sitio web oficial para agregar la información de contacto de su empresa al panel de conocimiento de Google en algunas búsquedas, por ejemplo, cuando un usuario ingresa el nombre de su empresa en la barra de búsqueda."
"Enable Rich Snippet for Corporate Contact","Habilitar Rich Snippet para Contacto Corporativo"
"Rich Snippets & Cards - Social Profile(s)","Rich Snippets y Tarjetas - Perfil(es) Social(es)"
"Use markup on your official website to add your social profile information to a Google Knowledge panel. Knowledge panels prominently display your social profile information in some Google Search results.","Utilice el marcado en su sitio web oficial para agregar la información de sus perfiles sociales a un panel de conocimiento de Google. Los paneles de conocimiento muestran de manera destacada la información de sus perfiles sociales en algunos resultados de búsqueda de Google."
"Enable Social Profile","Habilitar Perfil Social"
"Twitter Cards Settings","Configuración de Tarjetas de Twitter"
"Card Type","Tipo de Tarjeta"
"Product (Deprecated)","Producto (Obsoleto)"
"Summary Card","Tarjeta de Resumen"
"Summary Card with Large Image","Tarjeta de Resumen con Imagen Grande"
"In case price is listed with Tax and without Tax select which price should be used.","En caso de que el precio esté listado con impuestos y sin impuestos, seleccione qué precio debe usarse."
"Twitter Site","Sitio de Twitter"
"Twitter Creator","Creador de Twitter"
"Facebook Open Graph Settings","Configuración de Facebook Open Graph"
"In case price is listed with Tax and without Tax select which price should be used.","En caso de que el precio esté listado con impuestos y sin impuestos, seleccione qué precio debe usarse."
"Site Name","Nombre del sitio"
"App Id","ID de la aplicación"
"Retailer's ID for the item","ID del minorista para el artículo"
"Enable Facebook Graph For CMS Pages","Habilitar Facebook Graph para páginas CMS"
"Pinterest Rich Pins Settings","Configuración de Pines Enriquecidos de Pinterest"
"it uses same tags as Facebook Open graph, make sure Facebook Open Graph is enabled as well","utiliza las mismas etiquetas que Facebook Open Graph, asegúrese de que Facebook Open Graph esté habilitado también"
"Important Note","Nota Importante"
"Following the retirement of Google Analytics Universal Analytics, this extension is deprecated. To continue tracking eCommerce metrics on this store, please switch over to the","Tras el retiro de Google Analytics Universal Analytics, esta extensión está obsoleta. Para continuar rastreando métricas de comercio electrónico en esta tienda, cambie a la"
"General Configuration","Configuración General"
"Enable GoogleTagManager","Habilitar GoogleTagManager"
"GTM API Configuration","Configuración de la API de GTM"
" 600354931. Check usage ","600354931. Verificar uso"
"Container ID","ID del Contenedor"
"Universal Analytics Tracking ID","ID de Seguimiento de Universal Analytics"
" UA-12345678-9 "," UA-12345678-9 "
"I.P Anonymization","Anonimización de I.P."
"Enable Display Advertising Features","Habilitar Funciones de Publicidad en Display"
"Google Ads conversion tracking","Seguimiento de conversiones de Google Ads"
"Google Ads Remarketing","Remarketing de Google Ads"
"Json Export Options","Opciones de Exportación Json"
"Public ID","ID Público"
"Generate Json for Variables, Triggers and Tags","Generar Json para Variables, Disparadores y Etiquetas"
"Enable GA4","Habilitar GA4"
"Configuración de la API de GTM","Configuración de la API de GTM"
"Retrigger the Variables, Triggers and Tags Setup if you make changes here.","Reactivar la configuración de Variables, Disparadores y Etiquetas si realiza cambios aquí."
"Measurement ID","ID de Medición"
"Google Ads Conversion Tracking","Seguimiento de Conversiones de Google Ads"
"Retrigger the Variables, Triggers and Tags Setup if you make changes here.","Reactivar la configuración de Variables, Disparadores y Etiquetas si realiza cambios aquí."
"Enable / Disable Google Ads Conversion Tracking - When enabled, a Google Ads Conversion Tracking Tag is generated via the container JSON. If you're enabling this feature after the initial configuration, you'll need to regenerate and reimport the container JSON into Google Tag Manager.","Habilitar / Deshabilitar Seguimiento de Conversiones de Google Ads - Cuando está habilitado, se genera una Etiqueta de Seguimiento de Conversiones de Google Ads a través del JSON del contenedor. Si activa esta función después de la configuración inicial, necesitará regenerar y volver a importar el JSON del contenedor en Google Tag Manager."
"Remarketing de Google Ads","Remarketing de Google Ads"
"Retrigger the Variables, Triggers and Tags Setup if you make changes here.","Reactivar la configuración de Variables, Disparadores y Etiquetas si realiza cambios aquí."
"Measurement Protocol Tracking Configuration","Configuración del Protocolo de Medición"
"Enable Measurement Protocol Tracking Configuration","Habilitar Configuración del Protocolo de Medición"
"Measurement ID","ID de Medición"
"API Secret","Secreto de API"
"Track Events","Rastrear Eventos"
"Send User-ID","Enviar User-ID"
"Send User Properties with enabled events","Enviar Propiedades de Usuario con eventos habilitados"
"Select User Properties to send","Seleccionar Propiedades de Usuario para enviar"
"Automatically disable data layer for enabled measurement protocol events","Deshabilitar automáticamente la capa de datos para eventos habilitados del protocolo de medición"
"Enable File Log","Habilitar Registro en Archivo"
"Enable Debug Collect","Habilitar Recolección de Depuración"
"Meta Pixel Tracking Configuration","Configuración de Seguimiento de Meta Pixel"
"Meta Pixel Tracking Javascript Code","Código Javascript de Seguimiento de Meta Pixel"
"Track Events","Rastrear Eventos"
"Product Identifier","Identificador de Producto"
"General settings for Smart Product Tabs","Configuración general para Pestañas Inteligentes de Producto"
"Enable SmartProductTabs (Deprecated)","Habilitar SmartProductTabs (Obsoleto)"
"Enable/Disable Smart Product Tabs. This functionality can work independently from the SmartProductTabs Grid functionality. Functionality deprecated, you can use the SmartProductTabs Grid functionality.","Habilitar/Deshabilitar las Pestañas Inteligentes de Producto. Esta funcionalidad puede funcionar independientemente de la funcionalidad SmartProductTabs Grid. Funcionalidad obsoleta, puede usar la funcionalidad SmartProductTabs Grid."
"General settings for Smart Product Tabs Grid","Configuración general para la cuadrícula de Pestañas Inteligentes de Producto"
"Enable SmartProductTabs Grid","Habilitar la cuadrícula de SmartProductTabs"
"Enable/Disable Smart Product Tabs Grid. The SmartProductTabs Grid functionality can work independently from the deprecated SmartProductTabs.","Habilitar/Deshabilitar la cuadrícula de Pestañas Inteligentes de Producto. La funcionalidad SmartProductTabs Grid puede funcionar independientemente de las SmartProductTabs obsoletas."
"Multi Store General Settings","Configuración general para Multi Tienda"
"Enable Multi Store","Habilitar Multi Tienda"
"Enable/Disable Multi Store. All settings should be made per storeview. See tooltip.","Habilitar/Deshabilitar Multi Tienda. Todas las configuraciones deben hacerse por vista de tienda. Ver tooltip."
"Redirect to Home Page on store switch","Redirigir a la Página Principal al cambiar de tienda"
"When set to Yes, the customer is redirected to the Homepage on store switch.","Cuando se establece en Sí, el cliente es redirigido a la Página Principal al cambiar de tienda."
"Active Store Image","Imagen de tienda activa"
"Inactive Store Image","Imagen de tienda inactiva"
"Display in one row desktop","Mostrar en una fila en escritorio"
"If set to Yes, it displays the store views at the top, in a single row.","Si se establece en Sí, muestra las vistas de tienda en la parte superior, en una sola fila."
"Row background color","Color de fondo de la fila"
"Set the background color for the store view row. Example: #000000","Establezca el color de fondo para la fila de la vista de tienda. Ejemplo: #000000"
"Display in one row mobile","Mostrar en una fila en móvil"
"If set to Yes, it displays the store views at the top, in a single row.","Si se establece en Sí, muestra las vistas de tienda en la parte superior, en una sola fila."
"Row background color mobile","Color de fondo de la fila en móvil"
"Set the background color for the store view row. Example: #000000","Establezca el color de fondo para la fila de la vista de tienda. Ejemplo: #000000"
" Visibile on storefront","Visible en la tienda"
"Select if current storeview is visible on the other storeviews, on frontend. ","Seleccione si la vista de tienda actual es visible en las otras vistas de tienda, en el frontend."
"Image Width","Ancho de imagen"
"Set Image Width in the menu or top bar. You can fill only in the Height area in px, and
                         the width will autoscale. Example: 30px
                     ","Establezca el ancho de la imagen en el menú o barra superior. Puede llenar solo el área de Altura en px, y el ancho se ajustará automáticamente. Ejemplo: 30px"
"Image Height","Altura de imagen"
"Set Image Height in the menu or top bar. You can fill only in the Height area in px, and
                         the width will autoscale. Example: 20px
                     ","Establezca la altura de la imagen en el menú o barra superior. Puede llenar solo el área de Altura en px, y el ancho se ajustará automáticamente. Ejemplo: 20px"
"Exclude stores","Excluir tiendas"
"Insert here the store codes that should be excluded from the listing on frontend,
                         separate them by a comma. Example: default, german, french","Inserte aquí los códigos de tienda que deben excluirse del listado en el frontend, sepárelos por comas. Ejemplo: default, german, french"
"Token Name","Nombre del Token"
"Token Value","Valor del Token"
"Lazy Load Tips","Consejos para Lazy Load"
"Start Loading Early","Comenzar la carga antes"
"Enable to load images earlier than visible on viewport/screen.","Habilitar para cargar imágenes antes de que sean visibles en la pantalla/viewport."
"Effect Speed","Velocidad del Efecto"
"Effect Speed in milliseconds. For example insert 1000 for 1 second of the animation speed.","Velocidad del efecto en milisegundos. Por ejemplo, inserte 1000 para 1 segundo de duración de la animación."
"Loading Placeholder","Marcador de posición de carga"
"Enable to be able to choose your own placeholder for the loading period of the images. ","Habilitar para poder elegir su propio marcador de posición para el período de carga de las imágenes."
"Below you can upload your own file.","A continuación, puede cargar su propio archivo."
